time,hour,temperature,cloudcover,humidity,precipitation,solar_irradiance,smoke_aqi_proxy
2026-07-14 00:00:00,0,70.52,0,69,0.0,0.0,27.6
2026-07-14 01:00:00,1,69.98,0,73,0.0,0.0,29.200000000000003
2026-07-14 02:00:00,2,68.72,0,78,0.0,0.0,31.200000000000003
2026-07-14 03:00:00,3,68.36,0,78,0.0,0.0,31.200000000000003
2026-07-14 04:00:00,4,67.64,0,77,0.0,0.0,30.8
2026-07-14 05:00:00,5,67.28,2,77,0.0,0.0,32.0
2026-07-14 06:00:00,6,67.1,0,79,0.0,1.0,31.6
2026-07-14 07:00:00,7,68.72,3,80,0.0,72.0,33.8
2026-07-14 08:00:00,8,71.78,9,78,0.0,232.0,36.6
2026-07-14 09:00:00,9,75.92,17,71,0.0,415.0,38.6
2026-07-14 10:00:00,10,80.24000000000001,11,64,0.0,591.0,32.2
2026-07-14 11:00:00,11,84.02,14,56,0.0,742.0,30.800000000000004
2026-07-14 12:00:00,12,87.08000000000001,0,50,0.0,852.0,20.0
2026-07-14 13:00:00,13,89.41999999999999,0,47,0.0,916.0,18.8
2026-07-14 14:00:00,14,89.96000000000001,29,46,0.0,921.0,35.8
2026-07-14 15:00:00,15,91.03999999999999,2,44,0.0,872.0,18.8
2026-07-14 16:00:00,16,91.58000000000001,0,43,0.0,773.0,17.2
2026-07-14 17:00:00,17,91.22,12,45,0.0,630.0,25.2
2026-07-14 18:00:00,18,90.14,1,50,0.0,457.0,20.6
2026-07-14 19:00:00,19,87.61999999999999,0,56,0.0,273.0,22.400000000000002
2026-07-14 20:00:00,20,84.2,16,63,0.0,103.0,34.800000000000004
2026-07-14 21:00:00,21,82.22,0,67,0.0,6.0,26.8
2026-07-14 22:00:00,22,81.32,0,69,0.0,0.0,27.6
2026-07-14 23:00:00,23,80.6,0,69,0.0,0.0,27.6
2026-07-15 00:00:00,0,79.7,0,68,0.0,0.0,27.200000000000003
2026-07-15 01:00:00,1,78.98,0,68,0.0,0.0,27.200000000000003
2026-07-15 02:00:00,2,77.36,0,76,0.0,0.0,30.400000000000002
2026-07-15 03:00:00,3,76.64,0,78,0.0,0.0,31.200000000000003
2026-07-15 04:00:00,4,75.92,63,80,0.0,0.0,69.8
2026-07-15 05:00:00,5,75.38,22,82,0.0,0.0,46.0
2026-07-15 06:00:00,6,75.02,2,82,0.0,1.0,34.00000000000001
2026-07-15 07:00:00,7,76.46,54,78,0.0,72.0,63.6
2026-07-15 08:00:00,8,78.98,38,74,0.0,228.0,52.400000000000006
2026-07-15 09:00:00,9,83.12,38,65,0.0,419.0,48.8
2026-07-15 10:00:00,10,86.53999999999999,21,58,0.0,593.0,35.800000000000004
2026-07-15 11:00:00,11,89.78,12,54,0.0,746.0,28.8
2026-07-15 12:00:00,12,92.48,36,51,0.0,859.0,42.0
2026-07-15 13:00:00,13,94.82,74,48,0.0,913.0,63.6
2026-07-15 14:00:00,14,95.53999999999999,99,48,0.0,917.0,78.6
2026-07-15 15:00:00,15,95.9,95,48,0.0,826.0,76.2
2026-07-15 16:00:00,16,95.72,90,48,0.0,690.0,73.2
2026-07-15 17:00:00,17,95.53999999999999,88,46,0.0,558.0,71.2
2026-07-15 18:00:00,18,94.1,95,48,0.0,420.0,76.2
2026-07-15 19:00:00,19,92.48,95,55,0.0,193.0,79.0
2026-07-15 20:00:00,20,88.88000000000001,88,60,0.0,61.0,76.8
2026-07-15 21:00:00,21,84.74,0,71,0.0,5.0,28.400000000000002
2026-07-15 22:00:00,22,82.94,68,77,0.0,0.0,71.6
2026-07-15 23:00:00,23,81.5,86,77,0.0,0.0,82.4
2026-07-16 00:00:00,0,80.06,90,76,0.0,0.0,84.4
2026-07-16 01:00:00,1,78.8,83,78,0.0,0.0,81.0
2026-07-16 02:00:00,2,77.54,41,80,0.0,0.0,56.599999999999994
2026-07-16 03:00:00,3,77.72,88,79,0.0,0.0,84.4
2026-07-16 04:00:00,4,77.36,92,80,0.0,0.0,87.19999999999999
2026-07-16 05:00:00,5,76.82,60,82,0.0,0.0,68.80000000000001
2026-07-16 06:00:00,6,76.1,81,84,0.0,1.0,82.2
