time,hour,temperature,cloudcover,humidity,precipitation,solar_irradiance,smoke_aqi_proxy
2026-01-01 00:00:00,0,31.28,100,67,0.0,0.0,86.8
2026-01-01 01:00:00,1,32.36,96,68,0.0,0.0,84.8
2026-01-01 02:00:00,2,32.72,97,68,0.0,0.0,85.4
2026-01-01 03:00:00,3,33.44,88,69,0.0,0.0,80.4
2026-01-01 04:00:00,4,33.26,98,71,0.0,0.0,87.2
2026-01-01 05:00:00,5,34.16,48,70,0.0,0.0,56.8
2026-01-01 06:00:00,6,33.8,74,71,0.1,0.0,72.8
2026-01-01 07:00:00,7,32.9,100,72,0.8,0.0,88.8
2026-01-01 08:00:00,8,28.76,100,67,0.2,0.0,86.8
2026-01-01 09:00:00,9,26.6,0,48,0.0,8.0,19.200000000000003
2026-01-01 10:00:00,10,25.880000000000003,0,38,0.0,142.0,15.200000000000001
2026-01-01 11:00:00,11,25.880000000000003,0,33,0.0,293.0,13.200000000000001
2026-01-01 12:00:00,12,26.240000000000002,0,32,0.0,409.0,12.8
2026-01-01 13:00:00,13,26.78,1,32,0.0,472.0,13.4
2026-01-01 14:00:00,14,28.22,86,36,0.0,480.0,66.0
2026-01-01 15:00:00,15,28.22,100,39,0.0,344.0,75.6
2026-01-01 16:00:00,16,27.68,75,40,0.0,199.0,61.0
2026-01-01 17:00:00,17,26.78,7,39,0.0,131.0,19.8
2026-01-01 18:00:00,18,25.34,1,42,0.0,24.0,17.400000000000002
2026-01-01 19:00:00,19,24.439999999999998,0,43,0.0,0.0,17.2
2026-01-01 20:00:00,20,23.54,7,41,0.0,0.0,20.6
2026-01-01 21:00:00,21,23.18,19,41,0.0,0.0,27.800000000000004
2026-01-01 22:00:00,22,22.82,100,42,0.0,0.0,76.8
2026-01-01 23:00:00,23,23.54,100,39,0.0,0.0,75.6
2026-01-02 00:00:00,0,23.9,100,39,0.0,0.0,75.6
2026-01-02 01:00:00,1,23.54,100,43,0.1,0.0,77.2
2026-01-02 02:00:00,2,23.0,100,55,0.2,0.0,82.0
2026-01-02 03:00:00,3,22.82,100,58,0.2,0.0,83.2
2026-01-02 04:00:00,4,23.0,100,59,0.1,0.0,83.6
2026-01-02 05:00:00,5,23.0,100,61,0.1,0.0,84.4
2026-01-02 06:00:00,6,23.0,100,63,0.1,0.0,85.2
2026-01-02 07:00:00,7,23.18,100,64,0.1,0.0,85.6
2026-01-02 08:00:00,8,23.54,98,64,0.0,0.0,84.4
2026-01-02 09:00:00,9,24.26,100,62,0.0,8.0,84.8
2026-01-02 10:00:00,10,25.52,100,58,0.0,45.0,83.2
2026-01-02 11:00:00,11,27.5,100,53,0.0,114.0,81.2
2026-01-02 12:00:00,12,29.48,66,48,0.0,215.0,58.800000000000004
2026-01-02 13:00:00,13,31.46,98,43,0.0,322.0,76.0
2026-01-02 14:00:00,14,30.38,100,47,0.0,299.0,78.8
2026-01-02 15:00:00,15,31.64,92,44,0.0,241.0,72.8
2026-01-02 16:00:00,16,31.64,65,42,0.0,184.0,55.8
2026-01-02 17:00:00,17,31.46,20,43,0.0,154.0,29.2
2026-01-02 18:00:00,18,29.66,6,47,0.0,25.0,22.4
2026-01-02 19:00:00,19,28.04,5,50,0.0,0.0,23.0
2026-01-02 20:00:00,20,26.240000000000002,0,54,0.0,0.0,21.6
2026-01-02 21:00:00,21,26.240000000000002,0,55,0.0,0.0,22.0
2026-01-02 22:00:00,22,26.42,0,54,0.0,0.0,21.6
2026-01-02 23:00:00,23,25.880000000000003,0,55,0.0,0.0,22.0
2026-01-03 00:00:00,0,24.98,0,58,0.0,0.0,23.200000000000003
2026-01-03 01:00:00,1,23.72,9,62,0.0,0.0,30.2
2026-01-03 02:00:00,2,22.82,70,64,0.0,0.0,67.6
2026-01-03 03:00:00,3,22.46,98,64,0.0,0.0,84.4
2026-01-03 04:00:00,4,21.74,97,63,0.0,0.0,83.4
2026-01-03 05:00:00,5,21.74,98,60,0.0,0.0,82.8
2026-01-03 06:00:00,6,22.1,100,57,0.0,0.0,82.8
2026-01-03 07:00:00,7,22.46,100,56,0.0,0.0,82.4
2026-01-03 08:00:00,8,22.82,100,58,0.0,0.0,83.2
2026-01-03 09:00:00,9,23.54,100,58,0.0,10.0,83.2
2026-01-03 10:00:00,10,25.52,100,53,0.0,92.0,81.2
2026-01-03 11:00:00,11,27.68,99,46,0.0,180.0,77.8
2026-01-03 12:00:00,12,29.66,99,42,0.0,305.0,76.2
2026-01-03 13:00:00,13,30.74,100,42,0.0,333.0,76.8
2026-01-03 14:00:00,14,31.1,100,43,0.0,374.0,77.2
2026-01-03 15:00:00,15,32.18,100,42,0.0,302.0,76.8
2026-01-03 16:00:00,16,32.18,100,44,0.0,181.0,77.6
2026-01-03 17:00:00,17,31.64,100,45,0.0,90.0,78.0
2026-01-03 18:00:00,18,29.84,100,50,0.0,14.0,80.0
2026-01-03 19:00:00,19,30.02,100,50,0.0,0.0,80.0
2026-01-03 20:00:00,20,29.66,100,52,0.0,0.0,80.8
2026-01-03 21:00:00,21,29.48,100,52,0.0,0.0,80.8
2026-01-03 22:00:00,22,29.12,100,53,0.0,0.0,81.2
2026-01-03 23:00:00,23,29.12,100,54,0.0,0.0,81.6
2026-01-04 00:00:00,0,27.86,32,56,0.0,0.0,41.6
2026-01-04 01:00:00,1,26.96,100,58,0.0,0.0,83.2
2026-01-04 02:00:00,2,27.86,100,58,0.0,0.0,83.2
2026-01-04 03:00:00,3,28.22,100,59,0.0,0.0,83.6
2026-01-04 04:00:00,4,28.22,100,61,0.0,0.0,84.4
